Tabela 6957 - Produção, Valor da produção, Venda, Valor da venda e Área colhida da lavoura temporária nos estabelecimentos agropecuários, por tipologia, produtos da lavoura temporária, condição do produtor em relação às terras e grupos de atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Ano x Tipologia x Variável x Grupos de atividade econômica x Condição do produtor em relação às terras x Produtos da lavoura temporária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Área colhida nas lavouras temporárias (Hectares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;Abacaxi;Abóbora, moranga, jerimum;Algodão herbáceo;Alho;Amendoim em casca;Arroz em casca;Aveia branca em grão;Batata-inglesa;Cana-de-açúcar;Cebola;Centeio em grão;Cevada em casca;Colza (canola);Ervilha em grão;Fava em grão;Feijão preto em grão;Feijão de cor em grão;Feijão fradinho em grão;Feijão verde;Fumo em folha seca;Gergelim (semente);Girassol (semente);Juta (fibra);Linho (fibra);Malva (fibra);Mamona;Mandioca (aipim, macaxeira);Melancia;Melão;Milho em grão;Rami (fibra);Soja em grão;Sorgo em grão;Sorgo vassoura;Tomate rasteiro (industrial);Trigo em grão;Trigo preto em grão;Triticale em grão;Forrageiras para corte;Cana forrageira;Milho forrageiro;Palma forrageira;Sorgo forrageiro;Outros produtos;Sementes de algodão (produzidas para plantio);Sementes de arroz (produzidas para plantio);Sementes de feijão (produzidas para plantio);Sementes de milho (produzidas para plantio);Sementes de soja (produzidas para plantio);Sementes de trigo (produzidas para plantio);Sementes de forrageiras (produzidas para plantio);Sementes de batata-inglesa (produzidas para plantio);Toletes de cana-de-açúcar (produzidas para plantio);Sementes e outras formas de propagação de outros produtos (produzidas para plantio)
1100924;Chupinguaia (RO);40736;15;10;-;-;1;-;-;X;6;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;33;15;-;15365;-;22190;-;-;-;-;-;-;-;X;X;-;X;X;-;-;-;-;-;-;-;-;-;-
1100940;Cujubim (RO);12275;241;6;-;-;X;2964;-;X;3;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;238;23;X;103;-;8695;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1101005;Governador Jorge Teixeira (RO);268;-;11;-;-;X;-;-;X;X;-;-;-;-;-;-;-;34;2;-;-;-;-;-;-;-;-;78;4;-;88;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-
1101104;Itapuã do Oeste (RO);2249;22;1;-;-;X;X;-;-;12;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;62;7;-;25;-;X;-;-;-;-;-;-;-;X;X;-;-;X;-;-;-;-;-;-;-;-;-;-
1101203;Ministro Andreazza (RO);175;4;X;-;-;X;3;-;-;-;-;-;-;-;-;-;X;46;9;X;-;-;-;-;-;-;-;11;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1101302;Mirante da Serra (RO);502;5;9;-;-;2;13;-;-;4;-;-;-;-;-;-;2;100;41;4;-;-;-;-;-;-;-;66;6;X;221;-;-;-;X;X;-;-;-;-;4;X;-;-;1;-;-;-;-;-;-;-;-;-;-
1101401;Monte Negro (RO);189;1;4;-;-;1;-;-;-;1;-;-;-;-;-;X;-;3;X;0;-;-;-;-;-;-;-;66;1;-;103;-;-;X;-;X;-;-;-;-;1;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1101435;Nova União (RO);388;1;5;-;-;1;4;-;0;4;X;-;-;-;-;-;4;53;6;7;-;-;-;-;-;-;-;49;5;-;224;-;-;-;-;X;-;-;-;-;1;8;-;-;15;-;-;-;-;-;-;-;-;-;-
1101450;Parecis (RO);2123;2;5;-;-;-;4;-;X;X;-;-;-;-;-;-;-;20;-;8;-;-;-;-;-;-;-;29;5;X;1047;-;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1101468;Pimenteiras do Oeste (RO);34750;2;0;-;-;-;514;-;-;1;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;12;4;-;14168;-;19749;X;-;-;-;-;-;-;X;-;-;X;-;-;X;-;-;-;-;-;-;-;-
1101476;Primavera de Rondônia (RO);327;2;-;-;-;X;X;-;-;X;-;-;-;-;-;-;-;4;X;-;-;-;-;-;-;-;-;4;4;2;142;-;-;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1101484;São Felipe D'Oeste (RO);2551;2;7;-;-;6;12;-;-;X;-;-;-;-;-;-;X;71;X;2;-;-;-;-;-;-;-;87;7;X;1136;-;X;-;-;32;-;-;-;-;X;18;-;-;-;-;-;-;-;-;-;-;-;-;-
1101492;São Francisco do Guaporé (RO);3357;16;16;-;-;3;1856;-;X;11;-;-;-;-;-;-;-;12;3;19;-;-;-;-;-;-;-;100;15;-;1005;-;X;-;-;-;-;-;-;X;5;X;-;-;26;-;-;-;-;-;-;-;-;-;-
1101500;Seringueiras (RO);4800;5;14;-;-;-;726;-;X;X;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;28;6;-;1065;-;2445;-;-;-;-;-;-;-;-;501;-;-;-;-;-;-;-;-;-;-;-;-;-
1101559;Teixeirópolis (RO);190;0;0;-;-;1;-;-;-;0;-;-;-;-;-;-;-;3;X;-;-;-;-;-;-;-;-;124;5;X;53;-;-;-;-;X;-;-;-;-;1;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1101609;Theobroma (RO);1326;5;3;-;-;-;X;-;X;5;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;531;8;-;29;-;X;-;-;-;-;-;-;-;3;180;-;-;-;-;-;-;-;-;-;-;-;-;-
1101708;Urupá (RO);81;2;2;-;-;X;-;-;-;4;X;-;-;-;-;-;-;5;X;-;-;-;-;-;-;-;-;15;2;-;44;-;-;-;-;-;-;-;-;-;X;-;-;-;4;-;-;-;-;-;-;-;-;-;-
1101757;Vale do Anari (RO);1141;5;20;-;-;1;248;-;X;0;X;-;-;-;-;-;X;7;X;-;-;-;-;-;-;-;-;140;14;-;489;-;X;-;-;-;-;-;-;-;3;X;-;-;X;-;-;-;-;-;-;-;-;-;-
1101807;Vale do Paraíso (RO);57;1;3;-;-;-;X;-;-;3;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;18;2;-;7;-;-;-;-;X;-;-;-;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-
1200013;Acrelândia (AC);715;8;-;-;-;-;23;-;-;12;-;-;-;-;-;-;-;15;19;4;-;-;-;-;-;-;-;80;13;-;510;-;-;-;-;-;-;-;-;X;X;26;-;-;X;-;-;-;-;-;-;-;-;-;-
1200054;Assis Brasil (AC);742;X;-;-;-;-;160;-;-;X;-;-;-;-;-;-;-;80;10;-;-;-;-;-;-;-;-;64;8;-;417;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1200104;Brasiléia (AC);3304;5;4;-;-;-;351;-;-;4;-;-;-;-;-;-;X;220;364;36;X;-;-;-;-;-;-;437;5;-;1876;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200138;Bujari (AC);706;4;2;-;-;X;13;-;-;2;-;-;-;-;-;-;-;2;3;4;-;-;-;-;-;-;-;161;4;-;509;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200179;Capixaba (AC);2010;48;3;-;-;4;111;-;-;X;-;-;-;-;-;-;-;38;6;6;-;-;-;-;-;-;-;346;11;-;1410;-;-;-;-;-;-;-;-;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-
1200203;Cruzeiro do Sul (AC);2920;28;15;-;-;0;148;-;-;44;-;-;-;-;-;-;X;86;27;10;X;1;-;-;-;-;-;1977;66;-;514;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200252;Epitaciolândia (AC);1484;64;3;-;-;X;166;-;-;4;-;-;-;-;-;-;-;90;29;9;-;-;-;-;-;-;-;313;17;-;788;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200302;Feijó (AC);3615;16;2;2;-;3;75;-;-;10;-;-;-;-;-;-;-;21;9;12;3;X;-;-;-;-;-;1021;45;-;2394;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200328;Jordão (AC);531;23;4;7;-;21;13;-;-;3;-;-;-;-;-;-;-;11;2;-;-;-;-;-;-;-;-;192;9;-;247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1200336;Mâncio Lima (AC);952;1;X;-;-;X;20;-;-;7;-;-;-;-;-;-;-;32;10;X;-;-;-;-;-;-;-;616;24;-;237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1200344;Manoel Urbano (AC);357;0;1;-;-;-;22;-;-;1;-;-;-;-;-;-;-;10;15;X;-;-;-;-;-;-;-;54;6;-;246;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200351;Marechal Thaumaturgo (AC);1751;4;5;-;-;X;109;-;-;14;-;-;-;-;-;-;-;152;72;X;71;-;-;-;-;-;-;638;71;-;609;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1200385;Plácido de Castro (AC);1417;3;4;-;-;2;4;-;-;6;-;-;-;-;-;-;-;17;X;X;-;-;X;-;-;-;-;195;2;-;1169;-;X;-;-;-;-;-;-;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-
1200393;Porto Walter (AC);948;1;-;-;-;-;45;-;-;7;-;-;-;-;-;-;-;164;12;X;-;-;-;-;-;-;-;521;10;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1200401;Rio Branco (AC);3788;17;10;-;-;X;103;-;-;10;-;-;-;-;-;-;X;37;41;16;-;-;-;-;-;-;-;624;47;-;2611;-;X;-;-;-;-;-;-;-;X;70;-;-;X;-;-;-;-;-;-;-;-;-;-
1200427;Rodrigues Alves (AC);1158;8;X;-;-;-;147;-;-;11;-;-;-;-;-;-;-;19;1;X;-;-;-;-;-;-;-;846;9;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1200435;Santa Rosa do Purus (AC);393;1;1;8;-;39;27;-;-;0;-;-;-;-;-;-;-;X;27;X;-;-;-;-;-;-;-;100;5;-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
